CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
black_french;Black French;Français noir;Schwarzer Franzose;Czarny Francuz;Francés negro;Francese nero;Svart fransman;Černý Francouz;Fekete francia;Zwarte Fransman;Francês negro;Чёрный француз;Musta ranskalainen;黑人法国人
black_muslim;Black Muslim;Musulman noir;Schwarzer Muslim;Czarny muzułmanin;Musulmán negro;Musulmano nero;Svart muslim;Černý muslim;Fekete muszlim;Zwarte moslim;Muçulmano negro;Чёрный мусульманин;Musta muslimi;黑人穆斯林
black_portuguese;Black Portuguese;Portugais noir;Schwarzer Portugiese;Czarny Portugalczyk;Portugués negro;Portoghese nero;Svart portugis;Černý Portugalec;Fekete portugál;Zwarte Portugees;Português negro;Чёрный португалец;Musta portugalilainen;黑人葡萄牙人
black_spanish;Black Spanish;Espagnol noir;Schwarzer Spanier;Czarny Hiszpan;Español negro;Spagnolo nero;Svart spanjor;Černý Španěl;Fekete spanyol;Zwarte Spanjaard;Espanhol negro;Чёрный испанец;Musta espanjalainen;黑人西班牙人
bodo;Bodo;Bodo;Bodo;Bodo;Bodo;Bodo;Bodo;Bodo;Bodo;Bodo;Bodo;Бодо;Bodo;博多语
bosniak;Bosniak;Bosniaque;Bosniake;Bośniak;Bosnio;Bosniaco;Bosniak;Bosňák;Bosnyák;Bosniak;Bósnio;Босняк;Bosniakki;波斯尼亚克
breton;Breton;Breton;Bretonisch;Bretoński;Bretón;Bretone;Breton;Bretonština;Breton;Bretoens;Bretão;Бретонский;Bretonilainen;布列塔尼语
british;British;Britannique;Britisch;Brytyjski;Británico;Britannico;Brittisk;Britský;Brit;Brits;Britânico;Британский;Brittiläinen;英国人
bulgarian;Bulgarian;Bulgare;Bulgarisch;Bułgarski;Búlgaro;Bulgaro;Bulgarsk;Bulharský;Bolgár;Bulgarije;Búlgar;Болгарский;Bulgarialainen;保加利亚语
burmese;Burmese;Birman;Burmesisch;Birmański;Birmano;Birmano;Burmesisk;Barmský;Burmai;Burmees;Birmanês;Бирманский;Burmalainen;缅甸语
buryat;Buryat;Bouriate;Burjatisch;Buriacki;Buryato;Buriazia;Buryat;Burjatský;Burját;Buryat;Buryat;Бурятский;Buryatilainen;布里亚特语
byelorussian;Byelorussian;Biélorusse;Weißrussisch;Białoruski;Bielorruso;Bielorusso;Vitryssisk;Běloruský;Fehérorosz;Wit-Russisch;Bielorrusso;Белорусский;Valkovenäläinen;白俄罗斯语
caribbean_white_spanish;Caribbean White Spanish;Espagnol blanc des Caraïbes;Karibisch-Weißer Spanier;Karaibski biały Hiszpan;Español blanco caribeño;Spagnolo bianco caraibico;Karibisk vit spanjor;Karibský bílý Španěl;Karibi fehér spanyol;Caribisch witte Spaans;Espanhol branco caribenho;Карибский белый испанский;Karibian valkoinen espanjalainen;加勒比白人西班牙语
catalan;Catalan;Catalan;Katalanisch;Kataloński;Catalán;Catalano;Katalansk;Katalánský;Katalán;Catalaans;Catalão;Каталанский;Katalonialainen;加泰罗尼亚语
cham;Cham;Cham;Cham;Cham;Cham;Cham;Cham;Chamština;Cham;Cham;Cham;Чам;Cham;占语
chechen;Chechen;Tchétchène;Tschetschenisch;Czeczeński;Checheno;Ceceno;Tjetjensk;Čečenský;Csecsen;Cjetsjeens;Checheno;Чеченский;Tšetšeenilainen;车臣语
chewa;Chewa;Chewa;Chewa;Czewa;Chewa;Chewa;Chewa;Čevština;Chewa;Chewa;Chewa;Чева;Chewa;切瓦语
chin;Chin;Chin;Chin;Chin;Chin;Chin;Chin;Čjinština;Chin;Chin;Chin;Чин;Chin;钦语
chinese;Chinese;Chinois;Chinesisch;Chiński;Chino;Cinese;Kinesisk;Čínský;Kínai;Chinees;Chinês;Китайский;Kiinalainen;汉语
chinese_cantonese;Chinese Cantonese;Chinois cantonais;Kantonesisch;Chiński kantoński;Chino cantonés;Cinese cantonese;Kantonesisk kinesiska;Kantonština;Kantonai kínai;Kantonees;Chinês cantonês;Китайский кантонский;Kantoninkiinalainen;粤语
chinese_hakka;Chinese Hakka;Chinois hakka;Hakka-Chinesisch;Chiński hakka;Chino hakka;Cinese hakka;Hakka kinesiska;Hakka;Hakkai kínai;Hakka;Chinês hakka;Китайский хакка;Hakkakiinalainen;客家话
chinese_hokkien;Chinese Hokkien;Chinois hokkien;Hokkien-Chinesisch;Chiński hokkien;Chino hokkien;Cinese hokkien;Hokkien kinesiska;Hokkienština;Hokkien kínai;Hokkien;Chinês hokkien;Китайский хоккиен;Hokkienkiinalainen;福建话
chinese_macanese;Chinese Macanese;Chinois macanais;Macanesisch;Chiński makauński;Chino macanés;Cinese macanese;Macanesisk kinesiska;Macaoština;Makaói kínai;Macanees;Chinês macaense;Китайский маканесский;Macaokiinalainen;澳门话
chokwe;Chokwe;Chokwé;Chokwe;Chokwe;Chokwe;Chokwe;Chokwe;Chokwe;Chokwe;Chokwe;Chokwe;Чокве;Chokwellainen;乔克韦语
christian_arab;Christian Arab;Arabe chrétien;Christlicher Araber;Chrześcijański Arab;Árabe cristiano;Arabo cristiano;Kristen araber;Křesťanský Aráb;Keresztény arab;Christelijke Arabier;Árabe cristão;Христианский араб;Kristillinen arabialainen;基督教阿拉伯人
christian_malayalam;Christian Malayalam;Malayalam chrétien;Christliches Malayalam;Chrześcijański malajalam;Malayalam cristiano;Malayalam cristiano;Kristen malayalam;Křesťanský malajalam;Keresztény malajalam;Christelijk Malayalam;Malayalam cristão;Христианский малаялам;Kristillinen malayalam;基督教马拉雅拉姆语
chuvash;Chuvash;Tchouvache;Tschuwaschisch;Czuwański;Chuvash;Ciuvasso;Tschuvass;Čuvašský;Csuvasz;Tsjoevasj;Chuvache;Чувашский;Tsuvaasilainen;楚瓦什语
circassians;Circassians;Circassiens;Tscherkessen;Czerkiesi;Circasianos;Circassi;Tsjerkesser;Čerkesoví;Cserkeszek;Tsjerkessen;Circassianos;Черкесы;Tsserkesselaiset;切尔克斯人
coloured;Coloured;Coloured;Coloured;Coloured;Coloured;Coloured;Coloured;Coloured;Coloured;Coloured;Coloured;Колор;Coloured;有色人种
comore;Comorian;Comorien;Komoren;Komoryjski;Comorense;Comoriano;Komorisk;Komorský;Comori;Comorees;Comoriano;Коморский;Komorialainen;科摩尔语
corsican;Corsican;Corse;Korsisch;Korsykański;Corso;Corso;Korsikansk;Korzikánský;Korzikai;Corsicaans;Córsico;Корсиканский;Korsolainen;科西嘉语
croat;Croat;Croate;Kroate;Chorwat;Croata;Croato;Kroat;Chorvat;Horvát;Kroatisch;Croata;Хорват;Horvatalainen;克罗地亚语
czech;Czech;Tchèque;Tschechisch;Czeski;Checo;Ceco;Tjeckisk;Český;Cseh;Tsjechisch;Tcheco;Чешский;Tšekkiläinen;捷克语
dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Дакота;Dakotalainen;达科他语
damara;Damara;Damara;Damara;Damara;Damara;Damara;Damara;Damara;Damara;Damara;Damara;Дамара;Damaralainen;达马拉语
danish;Danish;Danois;Dänisch;Duński;Danés;Danese;Danska;Dánský;Dán;Deens;Dinamarquês;Датский;Tanskalainen;丹麦语
dargwa;Dargwa;Dargwa;Dargwa;Dargwijski;Dargwa;Dargwa;Dargwa;Dargwský;Dargva;Dargwa;Dargua;Даргинский;Dargwialainen;达尔格瓦语
dhivehi;Dhivehi;Dhivehi;Dhivehi;Dhivehi;Dhivehi;Dhivehi;Dhivehi;Dhivehi;Dhivehi;Dhivehi;Dhivehi;Дивехи;Dhivehialainen;迪维希语
dinka;Dinka;Dinka;Dinka;Dinka;Dinka;Dinka;Dinka;Dinka;Dinka;Dinka;Dinka;Динка;Dinkalainen;丁卡语
dong;Dong;Dong;Dong;Dong;Dong;Dong;Dong;Dong;Dong;Dong;Dong;Донг;Dongalainen;侗语
druze;Druze;Druze;Druzen;Druzy;Druzos;Druzi;Druzer;Druzi;Druze;Druzen;Druzos;Друзы;Druzaalainen;德鲁兹语
dutch;Dutch;Néerlandais;Niederländisch;Niderlandzki;Neerlandés;Olandese;Holländsk;Nizozemský;Holland;Nederlands;Holandês;Нидерландский;Hollantilainen;荷兰语
dyula;Dyula;Dioula;Dyula;Diula;Dioula;Dyula;Dyula;Dioula;Dyula;Dioula;Dyula;Диула;Dyulalainen;迪乌拉语
edo;Edo;Édo;Edo;Edo;Edo;Edo;Edo;Edo;Edo;Edo;Edo;Эдо;Edolainen;埃多语
egyptian;Egyptian;Égyptien;Ägyptisch;Egipski;Egipcio;Egiziano;Egyptisk;Egyptský;Egyiptomi;Egyptisch;Egípcio;Египетский;Egyptialainen;埃及语
emirati;Emirati;Émirati;Emiratisch;Emiracki;Emiratí;Emiratino;Emirati;Emirátský;Emirati;Emiraats;Emirato;Эмиратский;Emiraattilainen;阿联酋语
english;English;Anglais;Englisch;Angielski;Inglés;Inglese;Engelska;Anglický;Angol;Engels;Inglês;Английский;Englanninkielinen;英语
estonian;Estonian;Estonien;Estnisch;Estoński;Estonio;Estone;Estnisk;Estonský;Észt;Ests;Estoniano;Эстонский;Viroilainen;爱沙尼亚语
european;European;Européen;Europäisch;Europejski;Europeo;Europeo;Europeisk;Evropský;Európai;Europees;Europeu;Европейский;Eurooppalainen;欧洲语
ewe;Ewe;Éwé;Ewe;Ewe;Ewe;Ewe;Ewe;Ewe;Ewe;Ewe;Ewe;Эве;Ewelainen;埃维语
fang;Fang;Fang;Fang;Fang;Fang;Fang;Fang;Fang;Fang;Fang;Fang;Фанг;Fangilainen;芳语
faroe;Faroese;Féroïen;Färöisch;Farojski;Feroés;Faroese;Färöisk;Faeroeský;Feröeri;Faeröers;Feroês;Фарерский;Fääröläinen;法罗语
filipino;Filipino;Philippin;Filipino;Filipiński;Filipino;Filippino;Filipino;Filipínský;Fülöp-szigeteki;Filipijns;Filipino;Филиппинский;Filippiinilainen;菲律宾语
finnish;Finnish;Finlandais;Finnisch;Fiński;Finlandés;Finlandese;Finsk;Finský;Finn;Fins;Finlandês;Финский;Suomalainen;芬兰语
flemish;Flemish;Flamand;Flämisch;Flamandzki;Flamenco;Fiammingo;Flamländska;Flámský;Fleming;Vlaams;Flamengo;Фламандский;Flamantilainen;佛兰芒语
fon;Fon;Fon;Fon;Fon;Fon;Fon;Fon;Fon;Fon;Fon;Fon;Фон;Fonilainen;丰语
french;French;Français;Französisch;Francuski;Francés;Francese;Fransk;Francouzský;Francia;Frans;Francês;Французский;Ranskalainen;法语
french_canadian;French Canadian;Canadien français;Französisch-kanadisch;Kanadyjski francuski;Francés canadiense;Canadese francese;Fransk-kanadensisk;Kanadsky francouzský;Kanadai francia;Frans-Canadees;Francês canadiano;Французский канадец;Kanadalaisranskalainen;加拿大法语
fula;Fula;Peul;Fulani;Fulani;Fula;Fulani;Fulani;Fulani;Fulani;Fula;Fulani;Фула;Fulalainen;富拉语
fulbe;Fulbe;Fulbe;Fulbe;Fulbe;Fulbe;Fulbe;Fulbe;Fulbe;Fulbe;Fulbe;Fulbe;Фульбе;Fulbelainen;富勒贝语
fur;Fur;Fur;Fur;Fur;Fur;Fur;Fur;Fur;Fur;Fur;Fur;Фур;Furalainen;弗尔语
ga_adangbe;Ga-Adangbe;Ga-Adangbe;Ga-Adangbe;Ga-Adangbe;Ga-Adangbe;Ga-Adangbe;Ga-Adangbe;Ga-Adangbe;Ga-Adangbe;Ga-Adangbe;Ga-Adangbe;Га-Адангбе;Ga-adangbelainen;加-阿丹贝语
gagauz;Gagauz;Gagaouze;Gagauzisch;Gagauz;Gagauzo;Gagauzo;Gagauz;Gagauzský;Gagauz;Gagaoez;Gagauz;Гагаузский;Gagauzilainen;嘎告兹语
ganda;Ganda;Ganda;Ganda;Ganda;Ganda;Ganda;Ganda;Ganda;Ganda;Ganda;Ganda;Ганда;Gandalainen;干达语
ganguela;Ganguela;Ganguela;Ganguela;Ganguela;Ganguela;Ganguela;Ganguela;Ganguela;Ganguela;Ganguela;Ganguela;Гангуэла;Ganguelalainen;甘圭拉语
georgian;Georgian;Géorgien;Georgisch;Gruziński;Georgiano;Georgiano;Georgisk;Gruzínský;Grúz;Georgisch;Georgiano;Грузинский;Georgialainen;格鲁吉亚语
german;German;Allemand;Deutsch;Niemiecki;Alemán;Tedesco;Tysk;Německý;Német;Duits;Alemão;Немецкий;Saksalainen;德语
global_human;Global Human;Humain global;Globaler Mensch;Globalny człowiek;Humano global;Umano globale;Global människa;Globální člověk;Globális ember;Globaal mens;Humano global;Глобальный человек;Globaali ihminen;全球人
goan;Goan;Goanais;Goanisch;Goański;Goano;Goano;Goansk;Goanský;Goai;Goaans;Goês;Гоанский;Goalainen;果阿人
gorontalo;Gorontalo;Gorontalo;Gorontalo;Gorontalo;Gorontalo;Gorontalo;Gorontalo;Gorontalo;Gorontalo;Gorontalo;Gorontalo;Горонталский;Gorontalolainen;哥伦打罗
greek;Greek;Grec;Griechisch;Grecki;Griego;Greco;Grekisk;Řecký;Görög;Grieks;Grego;Греческий;Kreikkalainen;希腊语
gujarati;Gujarati;Goudjarati;Gujarati;Gudźarati;Guyaratí;Gujarati;Gujarati;Gudžaratský;Gujarati;Gujarati;Gujarate;Гуджарати;Gujaratilainen;古吉拉特语
gur;Gur;Gour;Gur;Gur;Gur;Gur;Gur;Gur;Gur;Gur;Gur;Гур;Gurlainen;古尔语
hadjarai;Hadjarai;Hadjarai;Hadjarai;Hadjarai;Hadjarai;Hadjarai;Hadjarai;Hadjarai;Hadjarai;Hadjarai;Hadjarai;Хаджарай;Hadjarailainen;哈贾赖语
hani;Hani;Hani;Hani;Hani;Hani;Hani;Hani;Hani;Hani;Hani;Hani;Хани;Hanilainen;哈尼语
haredim_jewish;Haredi Jewish;Juif haredi;Haredi-Jude;Żyd haredi;Judío haredi;Ebreo haredi;Haredi-judisk;Haredijský Žid;Haredi zsidó;Haredi-Joods;Judeu haredi;Харедимский еврей;Haredimilainen juutalainen;哈雷迪犹太人
hausa;Hausa;Haoussa;Hausan;Hausa;Hausa;Hausa;Hausa;Hauský;Hausza;Hausa;Hausa;Хауса;Hausalainen;豪萨语
hawaiian;Hawaiian;Hawaïen;Hawaiianisch;Hawajski;Hawaiano;Hawaiano;Havajisk;Havajský;Hawaii;Hawaïaans;Havaiano;Гавайский;Havaijilainen;夏威夷语
hazara;Hazara;Hazara;Hazara;Hazara;Hazara;Hazara;Hazara;Hazara;Hazara;Hazara;Hazara;Хазарский;Hazaaralainen;哈扎拉语
herero;Herero;Herero;Herero;Herero;Herero;Herero;Herero;Herero;Herero;Herero;Herero;Хереро;Hererolainen;赫雷罗语
hindi;Hindi;Hindi;Hindi;Hinduski;Hindi;Hindi;Hindi;Hindština;Hindi;Hindi;Hindi;Хинди;Hindilainen;印地语
hui;Hui;Hui;Hui;Hui;Hui;Hui;Hui;Hui;Hui;Hui;Hui;Хуэй;Huilainen;回语
hungarian;Hungarian;Hongrois;Ungarisch;Węgierski;Húngaro;Ungherese;Ungersk;Maďarský;Finn;Hongaars;Húngaro;Венгерский;Unkarilainen;匈牙利语
hutu;Hutu;Hutu;Hutu;Hutu;Hutu;Hutu;Hutu;Hutu;Hutu;Hutu;Hutu;Хуту;Hutulainen;胡图
ibad_arab;Ibad Arab;Arabe ibadite;Ibaditischer Araber;Arab ibadyjski;Árabe ibadí;Arabo ibadita;Ibadisk araber;Ibadistický Arab;Ibad arab;Ibad-Arabier;Árabe ibadita;Ибадитский араб;Ibad-arabialainen;伊巴迪阿拉伯
ibibio;Ibibio;Ibibio;Ibibio;Ibibio;Ibibio;Ibibio;Ibibio;Ibibio;Ibibio;Ibibio;Ibibio;Ибибио;Ibibiolainen;伊比比奥语
ibo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Игбо;Igbolainen;伊博语
icelandic;Icelandic;Islandais;Isländisch;Islandzki;Islandés;Islandese;Isländsk;Islandský;Izland;IJslands;Islandês;Исландский;Islantilainen;冰岛语
igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Igbo;Игбо;Igbolainen;伊博语
ijaw;Ijaw;Ijaw;Ijaw;Ijaw;Ijaw;Ijaw;Ijaw;Ijaw;Ijaw;Ijaw;Ijaw;Иджав;Ijawalainen;伊贾语
indian;Indian;Indien;Inder;Indyjski;Indio;Indiano;Indisk;Indický;Indiai;Indiaan;Indiano;Индиец;Intialainen;印度人
indian_muslim;Indian Muslim;Musulman indien;Indischer Muslim;Muzułmanin indyjski;Musulmán indio;Musulmano indiano;Indisk muslim;Indický muslim;Indiai muszlim;Indische moslim;Muçulmano indiano;Индийский мусульманин;Intialaismuslimi;印度穆斯林
indian_shia;Indian Shia;Chiite indien;Indischer Schiite;Szyita indyjska;Chiita indio;Sciita indiano;Indisk shiitisk;Indická šíita;Indiai síita;Indische sjiiet;Xiita indiano;Индийский шиит;Intialaisšiia;印度什叶派
indonesian;Indonesian;Indonésien;Indonesisch;Indonezyjski;Indonesio;Indonesiano;Indonesisk;Indonéský;Indonéz;Indonesisch;Indonésio;Индонезийский;Indonesialainen;印尼语
ingush;Ingush;Ingouche;Ingusch;Ingujski;Ingush;Inguscio;Ingush;Ingušský;Ingus;Ingussisch;Ingush;Ингушский;Ingushilainen;印古什语
inuit;Inuit;Inuit;Inuit;Inuici;Inuit;Inuit;Inuit;Inuit;Inuit;Inuït;Inuit;Иннуиты;Inuiittilainen;因纽特语
iraqi;Iraqi;Irakien;Irakisch;Iracki;Iraquí;Iracheno;Irakisk;Iracký;Iraki;Iraaks;Iraquiano;Иракский;Irakilainen;伊拉克人
irish;Irish;Irlandais;Irisch;Irlandzki;Irlandés;Irlandese;Irländsk;Irský;Ír;Iers;Irlandês;Ирландский;Irlantilainen;爱尔兰人
italian;Italian;Italien;Italienisch;Włoski;Italiano;Italiano;Italiensk;Italský;Olasz;Italiaans;Italiano;Итальянский;Italialainen;意大利语
iteso;Iteso;Iteso;Iteso;Iteso;Iteso;Iteso;Iteso;Iteso;Iteso;Iteso;Iteso;Iteso;Itesolainen;伊特索语
itsekari;Itsekari;Itsekari;Itsekari;Itsekari;Itsekari;Itsekari;Itsekari;Itsekari;Itsekari;Itsekari;Itsekari;Итсекари;Itsekarilainen;伊特塞卡里语
japanese;Japanese;Japonais;Japanisch;Japoński;Japonés;Giapponese;Japansk;Japonský;Japán;Japans;Japonês;Японский;Japanilainen;日本语
jewish;Jewish;Juif;Jüdisch;Żydowski;Judío;Ebraico;Judisk;Židovský;Zsidó;Joods;Judaico;Еврейский;Juutalainen;犹太人
jola;Jola;Jola;Jola;Jola;Jola;Jola;Jola;Jola;Jola;Jola;Jola;Жола;Jolalainen;乔拉语
jordanian;Jordanian;Jordanien;Jordanisch;Jordanski;Jordano;Giordano;Jordansk;Jordánský;Jordániai;Jordaan;Jordaniano;Иорданский;Jordanalainen;约旦人
kabarday;Kabarday;Kabarday;Kabarday;Kabardajski;Kabarday;Kabarday;Kabarday;Kabardajský;Kabardai;Kabarday;Kabarday;Кабардайский;Kabardaylainen;卡巴尔达人
kabye;Kabye;Kabye;Kabye;Kabye;Kabye;Kabye;Kabye;Kabye;Kabye;Kabye;Kabye;Кабье;kabyelainen;卡比耶语
kachin;Kachin;Kachin;Kachin;Kachin;Kachin;Kachin;Kachin;Kachinský;Kachin;Kachin;Kachin;Качин;Kachinilainen;克钦语
kalenjin;Kalenjin;Kalenjin;Kalenjin;Kalenjin;Kalenjin;Kalenjin;Kalenjin;Kalenjin;Kalenjin;Kalenjin;Kalenjin;Календжин;Kalenjinilainen;卡伦金语
kalimatan;Kalimatan;Kalimatan;Kalimatan;Kalimatan;Kalimatan;Kalimatan;Kalimatan;Kalimatan;Kalimatan;Kalimatan;Kalimatan;Калиматан;Kalimatanelainen;卡里马坦语
kalmyk;Kalmyk;Kalmouk;Kalmyk;Kałmucki;Kalmyk;Kalmyk;Kalmyk;Kalmycký;Kalmyk;Kalmyks;Kalmyk;Калмык;Kalmykilainen;卡尔梅克语
kamba;Kamba;Kamba;Kamba;Kamba;Kamba;Kamba;Kamba;Kamba;Kamba;Kamba;Kamba;Камба;Kambalainen;坎巴语
kanak;Kanak;Kanak;Kanak;Kanak;Kanak;Kanak;Kanak;Kanak;Kanak;Kanak;Kanak;Канак;Kanakalainen;卡纳克语
kanem_bornou;Kanem Bornou;Kanem-Bornu;Kanem-Bornu;Kanem-Bornu;Kanem-Bornu;Kanem-Bornu;Kanem-Bornu;Kanem-Bornu;Kanem-Bornu;Kanem-Bornu;Kanem-Bornu;Канем-Борну;Kanem-bornoulainen;卡内姆博尔努语
kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Каннада;Kannadalainen;卡纳达语
kanuri;Kanuri;Kanouri;Kanuri;Kanuri;Kanuri;Kanuri;Kanuri;Kanuri;Kanuri;Kanuri;Kanuri;Канури;Kanurilainen;卡努里语
karachay;Karachay;Karatchaï;Karatschai;Karaćajski;Karachay;Karachay;Karatsjai;Karačajský;Karacsáj;Karatschai;Karachay;Карачаевский;Karachaialainen;卡拉恰依语
karachay_balkar;Karachay-Balkar;Karachay-Balkar;Karatchaï-balkar;Karaćaj-Balkar;Karachay-balkar;Karachay-Balkar;Karatsjai-Balkar;Karačaj-balkarský;Karacsáj-balkár;Karatschai-Balkar;Karachay-Balkar;Карачаево-балкарский;Karachaialainen;卡拉恰伊-巴尔卡尔语
karakalpak;Karakalpak;Karakalpak;Karakalpak;Karakalpacki;Karakalpak;Karakalpak;Karakalpak;Karakalpacký;Karakalpaki;Karakalpak;Karakalpak;Каракалпакский;Karakalpakilainen;卡拉卡尔帕克语
karen;Karen;Karen;Karen;Karen;Karen;Karen;Karen;Karen;Karen;Karen;Karen;Карен;Karenilainen;克伦语
kashmiri;Kashmiri;Cachemir;Kaschmirisch;Kaszmirski;Cachemir;Cachemira;Kashmiri;Kašmírský;Kaszmiri;Kasjmirs;Caxemira;Кашмирский;Kashmirilainen;克什米尔语
kavango;Kavango;Kavango;Kavango;Kavango;Kavango;Kavango;Kavango;Kavango;Kavango;Kavango;Kavango;Каванго;Kavangolainen;卡万戈语
kazak;Kazakh;Kazakh;Kasachisch;Kazachski;Kazajo;Kazako;Kazakisk;Kazašský;Kazah;Kazachs;Cazaque;Казахский;Kazakhilainen;哈萨克语
khakas;Khakas;Khakas;Chakasisch;Khakaski;Jacas;Khakas;Khakas;Chakasský;Khakas;Khakas;Khakas;Хакасский;Khakasilainen;哈卡斯语
khasi;Khasi;Khasi;Khasi;Khasi;Khasi;Khasi;Khasi;Khasi;Khasi;Khasi;Khasi;Кхаси;Khasilainen;卡西语
khmer;Khmer;Khmer;Khmer;Khmerski;Jemer;Khmer;Khmer;Khmerský;Khmer;Khmer;Khmer;Кхмерский;Khmerilainen;高棉语
khoisan;Khoisan;Khoïsan;Khoisan;Khoisana;Khoisan;Khoisan;Khoisan;Khoisan;Khoisana;Khoisan;Khoisan;Хойсан;Khoisanilainen;科伊桑语
kiga;Kiga;Kiga;Kiga;Kiga;Kiga;Kiga;Kiga;Kiga;Kiga;Kiga;Kiga;Кига;Kigailainen;基加语
kikuyu;Kikuyu;Kikuyu;Kikuyu;Kikuyu;Kikuyu;Kikuyu;Kikuyu;Kikuyu;Kikuyu;Kikuyu;Kikuyu;Кикуйю;Kikuyulainen;基库尤语
kimbundu;Kimbundu;Kimboundu;Kimbundu;Kimbundu;Kimbundu;Kimbundu;Kimbundu;Kimbundu;Kimbundu;Kimbundu;Kimbundu;Кимбунду;Kimbundulainen;金本杜语
kirgiz;Kirghiz;Kirghize;Kirgisisch;Kirgiski;Kirguís;Kirghiso;Kirgizisk;Kyrgyzský;Kirgiz;Kirgisisch;Quirguiz;Киргизский;Kirgiisilainen;吉尔吉斯语
kisii;Kisii;Kisii;Kisii;Kisii;Kisii;Kisii;Kisii;Kisii;Kisii;Kisii;Kisii;Кисии;Kisiilainen;基希语
komi;Komi;Komi;Komi;Komi;Komi;Komi;Komi;Komijský;Komi;Komi;Komi;Коми;Komilainen;科米语
korean;Korean;Coréen;Koreanisch;Koreański;Coreano;Coreano;Koreansk;Korejský;Koreai;Koreaans;Coreano;Корейский;Korealainen;韩语
kpelle;Kpelle;Kpelle;Kpelle;Kpelle;Kpelle;Kpelle;Kpelle;Kpelle;Kpelle;Kpelle;Kpelle;Кпелле;Kpelleilainen;克佩莱语
kru;Kru;Kru;Kru;Kru;Kru;Kru;Kru;Kru;Kru;Kru;Kru;Кру;Kruilainen;克鲁语
kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Куба;Kubalainen;库巴语
kurdish;Kurdish;Kurde;Kurdisch;Kurdyjski;Kurdo;Curdo;Kurdisk;Kurdský;Kurdisztai;Koerdisch;Curdo;Курдский;Kurdilainen;库尔德语
kuwaiti;Kuwaiti;Koweïtien;Kuwaitisch;Kuwejcki;Kuwaití;Kuwaitiano;Kuwaitisk;Kuvajtský;Kuvaiti;Koeweitisch;Kuwaitiano;Кувейтский;Kuwaitilainen;科威特语
langi;Langi;Langi;Langi;Langi;Langi;Langi;Langi;Langi;Langi;Langi;Langi;Ланги;Langilainen;朗吉语
lao;Lao;Laotien;Laotisch;Laotański;Lao;Laotiano;Laotisk;Laoský;Laoszi;Laotiaans;Laociano;Лаосский;Laolainen;老挝语
latvian;Latvian;Letton;Lettisch;Łotewski;Letón;Lettone;Lettisk;Lotyšský;Lett;Lets;Letão;Латвийский;Latvialainen;拉脱维亚语
lazi;Lazi;Lazi;Lazi;Lazi;Lazi;Lazi;Lazi;Lazi;Lazi;Lazi;Lazi;Лази;Lazilainen;拉齐语
lebanese;Lebanese;Libanais;Libanesisch;Libański;Libanés;Libanese;Libanesisk;Libanonský;Libanoni;Libanees;Libanês;Ливанский;Libanonalainen;黎巴嫩语
lendu;Lendu;Lendu;Lendu;Lendu;Lendu;Lendu;Lendu;Lendu;Lendu;Lendu;Lendu;Ленду;Lendulainen;伦杜语
libyan;Libyan;Libyen;Libysch;Libijski;Libio;Libico;Libysk;Libyjský;Líbiai;Libisch;Líbio;Ливийский;Libyalainen;利比亚语
lingala;Lingala;Lingala;Lingala;Lingala;Lingala;Lingala;Lingala;Lingala;Lingala;Lingala;Lingala;Лингала;Lingalalainen;林加拉语
lithuanian;Lithuanian;Lituanien;Litauisch;Litewski;Lituano;Lituano;Litauisk;Litevský;Litván;Litouws;Lituano;Литовский;Liettualainen;立陶宛语
lomwe;Lomwe;Lomwe;Lomwe;Lomwe;Lomwe;Lomwe;Lomwe;Lomwe;Lomwe;Lomwe;Lomwe;Ломве;Lomwellainen;隆韦语
lozi;Lozi;Lozi;Lozi;Lozi;Lozi;Lozi;Lozi;Lozi;Lozi;Lozi;Lozi;Лози;Lozilainen;卢齐语
luba;Luba;Luba;Luba;Luba;Luba;Luba;Luba;Luba;Luba;Luba;Luba;Люба;Lubalainen;卢巴语
luhya;Luhya;Luhya;Luhya;Luhya;Luhya;Luhya;Luhya;Luhya;Luhya;Luhya;Luhya;Лухиа;Luhyailainen;卢希亚语
lunda;Lunda;Lunda;Lunda;Lunda;Lunda;Lunda;Lunda;Lunda;Lunda;Lunda;Lunda;Лунда;Lundalainen;隆达语
luo;Luo;Luo;Luo;Luo;Luo;Luo;Luo;Luo;Luo;Luo;Luo;Луо;Luolainen;卢奥语
maasai;Maasai;Masaï;Massai;Masajowie;Masái;Masai;Maasai;Masaj;Maszáj;Maasai;Masai;Масаев;Maasailainen;马赛语
